# M nu z R Re N Naem box snap
1.609600e+15 4.742544e+00 0.55 1.947921e-01 1.195961e+00 1.00040430e+00 8.37304044e-01 0 5
9.988180e+12 1.398299e+00 0.40 -1.978815e-03 4.665078e-03 2.78855016e+05 2.79407913e+05 0 6
1.601004e+13 1.523106e+00 0.40 -8.118358e-03 5.413229e-03 1.68250620e+05 1.69627719e+05 0 6
2.561658e+13 1.664408e+00 0.40 -9.435768e-03 6.408100e-03 9.88246572e+04 9.97660262e+04 0 6
4.100878e+13 1.825833e+00 0.40 -3.059933e-03 7.745279e-03 5.60482899e+04 5.62203203e+04 0 6
6.549294e+13 2.009864e+00 0.40 -1.078057e-03 9.379434e-03 2.98715960e+04 2.99038340e+04 0 6
1.047458e+14 2.222330e+00 0.40 -1.333007e-02 1.216116e-02 1.45143916e+04 1.47104834e+04 0 6
1.670035e+14 2.466333e+00 0.40 -3.273225e-02 1.588046e-02 6.29589108e+03 6.50894344e+03 0 6
2.652720e+14 2.747221e+00 0.40 -1.977796e-02 2.408339e-02 2.44402908e+03 2.49334231e+03 0 6
4.240779e+14 3.079518e+00 0.40 -7.180896e-04 3.911211e-02 7.83896369e+02 7.84459682e+02 0 6
6.697565e+14 3.458740e+00 0.40 -6.543522e-02 7.477034e-02 1.76141033e+02 1.88473862e+02 0 6
1.031091e+15 3.877536e+00 0.40 2.484509e-01 2.029294e-01 3.90223183e+01 3.12565896e+01 0 6
1.795367e+15 4.522542e+00 0.40 -3.439549e-02 5.569441e-01 3.00111382e+00 3.10801555e+00 0 6
9.992923e+12 1.289504e+00 0.25 2.481865e-04 4.560511e-03 2.96892103e+05 2.96818437e+05 0 7
1.601680e+13 1.404591e+00 0.25 -1.142974e-03 5.203721e-03 1.83912345e+05 1.84122792e+05 0 7
2.564213e+13 1.535074e+00 0.25 -6.182355e-03 6.194777e-03 1.10572190e+05 1.11260039e+05 0 7
4.102920e+13 1.683799e+00 0.25 -2.060915e-03 7.366226e-03 6.47407500e+04 6.48744507e+04 0 7
6.561150e+13 1.854032e+00 0.25 3.533169e-03 8.691477e-03 3.61622150e+04 3.60348976e+04 0 7
1.048441e+14 2.049668e+00 0.25 -2.149926e-03 1.115084e-02 1.86945599e+04 1.87348384e+04 0 7
1.674058e+14 2.275496e+00 0.25 -4.302220e-03 1.508656e-02 8.86191743e+03 8.90020808e+03 0 7
2.668905e+14 2.536931e+00 0.25 -7.576615e-03 1.990626e-02 3.70908606e+03 3.73740292e+03 0 7
4.270175e+14 2.844560e+00 0.25 -7.241420e-03 3.067255e-02 1.31549613e+03 1.32509168e+03 0 7
6.688659e+14 3.188260e+00 0.25 -1.592995e-02 5.376947e-02 3.66293584e+02 3.72223081e+02 0 7
1.036931e+15 3.581005e+00 0.25 1.611306e-02 1.163394e-01 7.70438698e+01 7.58221429e+01 0 7
1.703864e+15 4.108806e+00 0.25 1.117848e-01 3.322441e-01 1.10042541e+01 9.89782749e+00 0 7
2.790950e+15 4.740968e+00 0.25 1.874308e+00 2.032439e+00 2.00052635e+00 6.96002858e-01 0 7
1.000112e+13 1.187314e+00 0.10 4.087429e-03 4.481075e-03 3.12662931e+05 3.11390146e+05 0 8
1.604423e+13 1.293502e+00 0.10 2.747074e-03 5.101805e-03 1.97363867e+05 1.96823179e+05 0 8
2.566580e+13 1.413469e+00 0.10 -2.323507e-03 6.085375e-03 1.21486452e+05 1.21769384e+05 0 8
4.112465e+13 1.550861e+00 0.10 1.623820e-03 6.984843e-03 7.32628297e+04 7.31440569e+04 0 8
6.582861e+13 1.708038e+00 0.10 4.706354e-03 8.355299e-03 4.23882350e+04 4.21896754e+04 0 8
1.051700e+14 1.888244e+00 0.10 2.636105e-03 1.011792e-02 2.30772750e+04 2.30166008e+04 0 8
1.680464e+14 2.096691e+00 0.10 1.021376e-02 1.361788e-02 1.17506538e+04 1.16318489e+04 0 8
2.682009e+14 2.338274e+00 0.10 4.293046e-03 1.807867e-02 5.31368559e+03 5.29097120e+03 0 8
4.279482e+14 2.620175e+00 0.10 1.726257e-02 2.523620e-02 2.11740412e+03 2.08147256e+03 0 8
6.752951e+14 2.942472e+00 0.10 2.778371e-02 4.367719e-02 6.88547775e+02 6.69934511e+02 0 8
1.064166e+15 3.319966e+00 0.10 7.874047e-02 8.409187e-02 1.76098266e+02 1.63244330e+02 0 8
1.623260e+15 3.731175e+00 0.10 -7.426893e-02 1.883777e-01 2.50100409e+01 2.70165298e+01 0 8
2.621600e+15 4.284529e+00 0.10 5.348717e-01 7.659281e-01 4.00110538e+00 2.60680120e+00 0 8
4.943800e+15 5.195621e+00 0.10 7.471416e+00 8.479701e+00 1.00016849e+00 1.18063916e-01 0 8
1.000475e+13 1.123545e+00 0.00 5.239085e-03 4.428817e-03 3.21378524e+05 3.19703569e+05 0 9
1.604985e+13 1.224030e+00 0.00 3.625205e-03 5.073208e-03 2.05070174e+05 2.04329438e+05 0 9
2.566838e+13 1.337492e+00 0.00 3.837893e-03 5.888928e-03 1.28670689e+05 1.28178753e+05 0 9
4.115496e+13 1.467688e+00 0.00 2.545783e-03 6.769366e-03 7.85497071e+04 7.83502444e+04 0 9
6.590979e+13 1.616615e+00 0.00 5.490601e-03 7.951835e-03 4.64569122e+04 4.62032287e+04 0 9
1.053093e+14 1.787230e+00 0.00 1.010501e-02 9.668310e-03 2.61887500e+04 2.59267599e+04 0 9
1.682553e+14 1.984515e+00 0.00 1.284464e-02 1.270220e-02 1.37593511e+04 1.35848584e+04 0 9
2.681221e+14 2.212390e+00 0.00 2.600026e-02 1.726566e-02 6.64286074e+03 6.47452150e+03 0 9
4.281461e+14 2.479574e+00 0.00 3.542939e-02 2.351068e-02 2.80218047e+03 2.70629798e+03 0 9
6.801633e+14 2.789459e+00 0.00 4.863991e-02 3.695357e-02 9.88782236e+02 9.42918754e+02 0 9
1.076369e+15 3.151184e+00 0.00 1.651985e-01 6.973527e-02 2.97164355e+02 2.55033245e+02 0 9
1.696789e+15 3.575037e+00 0.00 -2.975062e-02 1.443227e-01 4.70182357e+01 4.84599495e+01 0 9
2.873150e+15 4.165717e+00 0.00 -2.881877e-01 3.552069e-01 4.00102914e+00 5.62090513e+00 0 9
6.393600e+15 5.333559e+00 0.00 1.399512e+02 1.410890e+02 1.00013787e+00 7.09563343e-03 0 9
7.544644e+12 3.268614e+00 3.00 -1.275587e-02 1.117161e-02 1.94596232e+04 1.97110549e+04 1 0
1.214164e+13 3.553161e+00 3.00 -6.403876e-03 1.707717e-02 6.26723487e+03 6.30762814e+03 1 0
1.957314e+13 3.877118e+00 3.00 -2.079868e-02 2.688529e-02 1.63878754e+03 1.67359612e+03 1 0
