# logM_lo logM_hi N Mave
1.016983014097054117e+01 1.040498950636579956e+01 8.965970000000000000e+05 1.912514641200000000e+10
1.040498950636579956e+01 1.064014887176105972e+01 5.201380000000000000e+05 3.288553196900000000e+10
1.064014887176105972e+01 1.087530823715631811e+01 2.969960000000000000e+05 5.649179765800000000e+10
1.087530823715631811e+01 1.111046760255157828e+01 1.657530000000000000e+05 9.693401783800000000e+10
1.111046760255157828e+01 1.134562696794683667e+01 9.054300000000000000e+04 1.664206299900000000e+11
1.134562696794683667e+01 1.158078633334209684e+01 4.767500000000000000e+04 2.854052348190000000e+11
1.158078633334209684e+01 1.181594569873735523e+01 2.438600000000000000e+04 4.889289812470000000e+11
1.181594569873735523e+01 1.205110506413261540e+01 1.171200000000000000e+04 8.397898389080000000e+11
1.205110506413261540e+01 1.228626442952787379e+01 5.245000000000000000e+03 1.434411020019000000e+12
1.228626442952787379e+01 1.252142379492313395e+01 2.106000000000000000e+03 2.450015811965000000e+12
1.252142379492313395e+01 1.275658316031839234e+01 7.770000000000000000e+02 4.227805019305000000e+12
1.275658316031839234e+01 1.299174252571365074e+01 2.400000000000000000e+02 7.028588750000000000e+12
1.299174252571365074e+01 1.322690189110891090e+01 6.500000000000000000e+01 1.235971846153800000e+13
1.322690189110891090e+01 1.346206125650417107e+01 1.500000000000000000e+01 1.960460000000000000e+13
1.346206125650417107e+01 1.369722062189942946e+01 1.000000000000000000e+00 4.979900000000000000e+13
