# logM_lo logM_hi N Mave
1.016983601561014439e+01 1.045195754606914562e+01 1.221261000000000000e+06 2.016110861300000000e+10
1.045195754606914562e+01 1.073407907652814508e+01 6.905640000000000000e+05 3.863643715700000000e+10
1.073407907652814508e+01 1.101620060698714632e+01 3.875770000000000000e+05 7.399288942400000000e+10
1.101620060698714632e+01 1.129832213744614577e+01 2.145080000000000000e+05 1.416564690970000000e+11
1.129832213744614577e+01 1.158044366790514701e+01 1.171970000000000000e+05 2.709981217540000000e+11
1.158044366790514701e+01 1.186256519836414824e+01 6.416000000000000000e+04 5.174373620320000000e+11
1.186256519836414824e+01 1.214468672882314770e+01 3.412200000000000000e+04 9.912862181290000000e+11
1.214468672882314770e+01 1.242680825928214894e+01 1.785500000000000000e+04 1.898863870064000000e+12
1.242680825928214894e+01 1.270892978974114840e+01 9.056000000000000000e+03 3.634789995583000000e+12
1.270892978974114840e+01 1.299105132020014963e+01 4.436000000000000000e+03 6.926780342651000000e+12
1.299105132020014963e+01 1.327317285065915087e+01 1.957000000000000000e+03 1.319137460398500000e+13
1.327317285065915087e+01 1.355529438111815033e+01 7.660000000000000000e+02 2.507418668407300000e+13
1.355529438111815033e+01 1.383741591157715156e+01 3.030000000000000000e+02 4.763911881188100000e+13
1.383741591157715156e+01 1.411953744203615102e+01 9.500000000000000000e+01 9.338616842105200000e+13
1.411953744203615102e+01 1.440165897249515226e+01 1.800000000000000000e+01 1.800155555555550000e+14
